example_id                                                                   | status  | run_time        |
./spec/models/group_spec.rb[1:1]                                             | passed  | 0.00731 seconds |
./spec/models/group_spec.rb[1:2]                                             | passed  | 0.00835 seconds |
./spec/models/group_spec.rb[1:3]                                             | passed  | 0.01151 seconds |
./spec/models/group_spec.rb[1:4]                                             | passed  | 0.00834 seconds |
./spec/models/group_spec.rb[1:5]                                             | passed  | 0.0102 seconds  |
./spec/models/group_spec.rb[1:6]                                             | passed  | 0.01073 seconds |
./spec/models/group_spec.rb[1:7:1:1]                                         | passed  | 0.05335 seconds |
./spec/models/group_spec.rb[1:7:1:2]                                         | passed  | 0.05388 seconds |
./spec/models/group_spec.rb[1:7:2:1]                                         | passed  | 0.0518 seconds  |
./spec/models/group_spec.rb[1:7:2:2]                                         | passed  | 0.05408 seconds |
./spec/models/location_spec.rb[1:1]                                          | passed  | 0.00574 seconds |
./spec/models/location_spec.rb[1:2]                                          | passed  | 0.00634 seconds |
./spec/models/match_availability_spec.rb[1:1]                                | passed  | 0.01208 seconds |
./spec/models/match_availability_spec.rb[1:2]                                | passed  | 0.00614 seconds |
./spec/models/match_selection_spec.rb[1:1]                                   | passed  | 0.01724 seconds |
./spec/models/match_selection_spec.rb[1:2]                                   | passed  | 0.00584 seconds |
./spec/models/match_selection_spec.rb[1:3]                                   | passed  | 0.00618 seconds |
./spec/models/match_spec.rb[1:1]                                             | passed  | 0.00721 seconds |
./spec/models/match_spec.rb[1:2]                                             | passed  | 0.00676 seconds |
./spec/models/match_spec.rb[1:3]                                             | passed  | 0.00726 seconds |
./spec/models/match_spec.rb[1:4]                                             | passed  | 0.00507 seconds |
./spec/models/match_spec.rb[1:5]                                             | passed  | 0.00881 seconds |
./spec/models/match_spec.rb[1:6:1:1]                                         | passed  | 0.07435 seconds |
./spec/models/match_spec.rb[1:6:2:1]                                         | passed  | 0.06174 seconds |
./spec/models/match_spec.rb[1:7:1:1]                                         | passed  | 0.12508 seconds |
./spec/models/match_spec.rb[1:7:2:1]                                         | passed  | 0.1049 seconds  |
./spec/models/match_spec.rb[1:7:3:1]                                         | passed  | 0.15708 seconds |
./spec/models/participation_spec.rb[1:1]                                     | passed  | 0.00856 seconds |
./spec/models/participation_spec.rb[1:2]                                     | passed  | 0.00842 seconds |
./spec/models/participation_spec.rb[1:3]                                     | passed  | 0.00885 seconds |
./spec/models/participation_spec.rb[1:4]                                     | passed  | 0.012 seconds   |
./spec/models/season_spec.rb[1:1]                                            | passed  | 0.00496 seconds |
./spec/models/season_spec.rb[1:2]                                            | passed  | 0.00387 seconds |
./spec/models/season_spec.rb[1:3]                                            | passed  | 0.004 seconds   |
./spec/models/season_spec.rb[1:4]                                            | passed  | 0.00884 seconds |
./spec/models/season_spec.rb[1:5]                                            | passed  | 0.00744 seconds |
./spec/models/season_spec.rb[1:6]                                            | passed  | 0.00789 seconds |
./spec/models/season_spec.rb[1:7:1:1]                                        | passed  | 0.01441 seconds |
./spec/models/season_spec.rb[1:7:2:1]                                        | passed  | 0.07009 seconds |
./spec/models/season_spec.rb[1:7:2:2]                                        | passed  | 0.06565 seconds |
./spec/models/season_spec.rb[1:7:3:1]                                        | passed  | 0.02519 seconds |
./spec/models/season_spec.rb[1:8:1]                                          | passed  | 0.0062 seconds  |
./spec/models/season_spec.rb[1:9:1]                                          | passed  | 0.02856 seconds |
./spec/models/section_spec.rb[1:1]                                           | passed  | 0.00619 seconds |
./spec/models/section_spec.rb[1:2]                                           | passed  | 0.00757 seconds |
./spec/models/section_spec.rb[1:3]                                           | passed  | 0.00398 seconds |
./spec/models/section_spec.rb[1:4]                                           | passed  | 0.00354 seconds |
./spec/models/section_spec.rb[1:5]                                           | passed  | 0.00292 seconds |
./spec/models/section_spec.rb[1:6]                                           | passed  | 0.00873 seconds |
./spec/models/section_spec.rb[1:7]                                           | passed  | 0.00383 seconds |
./spec/models/section_spec.rb[1:8:1:1]                                       | passed  | 0.07582 seconds |
./spec/models/section_spec.rb[1:8:1:2]                                       | passed  | 0.0702 seconds  |
./spec/models/section_spec.rb[1:8:1:3]                                       | passed  | 0.06814 seconds |
./spec/models/section_spec.rb[1:8:2:1]                                       | passed  | 0.09912 seconds |
./spec/models/section_spec.rb[1:8:2:2]                                       | passed  | 0.09633 seconds |
./spec/models/section_spec.rb[1:8:2:3]                                       | passed  | 0.07401 seconds |
./spec/models/section_spec.rb[1:8:3:1]                                       | passed  | 0.07529 seconds |
./spec/models/section_spec.rb[1:8:3:2]                                       | passed  | 0.07301 seconds |
./spec/models/section_spec.rb[1:8:3:3]                                       | passed  | 0.07578 seconds |
./spec/models/section_spec.rb[1:8:3:4]                                       | passed  | 0.08212 seconds |
./spec/models/section_spec.rb[1:9:1:1]                                       | passed  | 0.05611 seconds |
./spec/models/section_spec.rb[1:9:1:2]                                       | passed  | 0.05908 seconds |
./spec/models/section_spec.rb[1:9:1:3]                                       | passed  | 0.09036 seconds |
./spec/models/section_spec.rb[1:9:2:1]                                       | passed  | 0.06234 seconds |
./spec/models/section_spec.rb[1:9:2:2]                                       | passed  | 0.06699 seconds |
./spec/models/section_spec.rb[1:9:2:3]                                       | passed  | 0.07131 seconds |
./spec/models/section_spec.rb[1:9:3:1]                                       | passed  | 0.07648 seconds |
./spec/models/section_spec.rb[1:9:3:2]                                       | passed  | 0.08973 seconds |
./spec/models/section_spec.rb[1:9:3:3]                                       | passed  | 0.08731 seconds |
./spec/models/section_spec.rb[1:9:3:4]                                       | passed  | 0.07614 seconds |
./spec/models/section_spec.rb[1:10:1:1]                                      | passed  | 0.10094 seconds |
./spec/models/section_spec.rb[1:10:1:2]                                      | passed  | 0.12471 seconds |
./spec/models/section_spec.rb[1:10:1:3:1]                                    | passed  | 0.11081 seconds |
./spec/models/section_spec.rb[1:10:1:4:1]                                    | passed  | 0.13563 seconds |
./spec/models/section_spec.rb[1:10:1:5:1]                                    | passed  | 0.08597 seconds |
./spec/models/section_spec.rb[1:10:2:1]                                      | passed  | 0.0741 seconds  |
./spec/models/section_spec.rb[1:11:1]                                        | passed  | 0.04941 seconds |
./spec/models/section_spec.rb[1:12:1:1]                                      | passed  | 0.04972 seconds |
./spec/models/section_spec.rb[1:12:1:2]                                      | passed  | 0.05219 seconds |
./spec/models/section_spec.rb[1:12:1:3]                                      | passed  | 0.05176 seconds |
./spec/models/section_spec.rb[1:12:1:4]                                      | passed  | 0.04597 seconds |
./spec/models/section_spec.rb[1:12:2:1]                                      | passed  | 0.04169 seconds |
./spec/models/section_spec.rb[1:12:2:2]                                      | passed  | 0.03988 seconds |
./spec/models/section_spec.rb[1:12:2:3]                                      | passed  | 0.03829 seconds |
./spec/models/section_spec.rb[1:12:2:4]                                      | passed  | 0.04238 seconds |
./spec/models/section_spec.rb[1:13:1:1]                                      | passed  | 0.09286 seconds |
./spec/models/section_spec.rb[1:13:2:1]                                      | passed  | 0.03274 seconds |
./spec/models/section_spec.rb[1:14:1:1]                                      | passed  | 0.13242 seconds |
./spec/models/section_spec.rb[1:14:1:2]                                      | passed  | 0.13391 seconds |
./spec/models/section_spec.rb[1:14:1:3]                                      | passed  | 0.12714 seconds |
./spec/models/section_spec.rb[1:14:1:4]                                      | passed  | 0.10425 seconds |
./spec/models/section_spec.rb[1:14:2:1]                                      | passed  | 0.12278 seconds |
./spec/models/section_spec.rb[1:14:2:2]                                      | passed  | 0.16505 seconds |
./spec/models/section_spec.rb[1:14:2:3]                                      | passed  | 0.09049 seconds |
./spec/models/section_spec.rb[1:14:2:4]                                      | passed  | 0.08867 seconds |
./spec/models/section_spec.rb[1:15:1]                                        | passed  | 0.10599 seconds |
./spec/models/section_spec.rb[1:16:1:1]                                      | passed  | 0.16544 seconds |
./spec/models/section_spec.rb[1:16:2:1]                                      | passed  | 0.22488 seconds |
